latitude;price;bathrooms;Součet hodnot: accommodates;Součet hodnot: beds;Součet hodnot: host_response_rate;Součet hodnot: bedrooms;longitude
-22.974905194555273;$1,431.00;6;16;16;1;6;-43.18858456183203
-22.975016144491082;$82.00;6,5;16;16;0,9;6;-43.491077563783925
-22.97517091035655;$55.00;4;16;16;1;1;-43.45754439100759
-22.975488574589587;$34.00;4,5;16;15;0;1;-43.49056014097444
-22.97576170388139;$1,199.00;6;16;6;1;5;-43.1907848946102
-22.975775600792502;$188.00;1,5;16;2;1;1;-43.32189899565436
-22.9771137174628;$5,000.00;;16;;1;3;-43.5000849471694
-22.977814526130675;$3,162.00;8;16;16;1;10;-43.41636709803096
-22.978192341585437;$6,830.00;1;16;16;1;4;-43.23456985062122
-22.978609718394633;$51.00;2;16;25;1;1;-43.19150435838662
-22.978886938745344;$645.00;3;16;9;1;4;-43.190930718614325
-22.98032332188258;$3,500.00;8;16;11;1;5;-43.19298277926956
-22.981294782156372;$798.00;3;16;16;1;4;-43.18764945696423
-22.981320120065142;$5,000.00;8;16;16;0,44;10;-43.49505860034122
-22.982268367253045;$857.00;5;16;16;1;5;-43.490682831136525
-22.982652924018048;$2,906.00;7,5;16;12;0,94;7;-43.19504111489361
-22.98272199129932;$89.00;4;16;;1;1;-43.19524473842724
-22.982738125537907;$902.00;4;16;10;0,7;5;-43.19141765016487
-22.982763452308074;$89.00;4;16;1;1;1;-43.19407267975916
-22.982989941951278;$89.00;4;16;1;1;1;-43.195651667738204
-22.983308185191543;$649.00;4;16;18;0,8;5;-43.19007212608378
-22.983425846146677;$887.00;2;16;12;1;4;-43.19074829265443
-22.983556238000062;$1,199.00;4;16;12;1;5;-43.21160780847277
-22.983675324637357;$140.00;3;16;16;1;1;-43.429432252091814
-22.983848671455117;$147.00;4;16;3;1;1;-43.19596460166176
-22.98410760353516;$1,199.00;2;16;16;1;2;-43.63367720009543
-22.984185177803575;$799.00;3;16;15;1;4;-43.19132655109106
-22.984326408530826;$2,749.00;8;16;1;0,81;10;-43.29901548295862
-22.984490094069702;$89.00;5;16;1;1;1;-43.19696372999117
-22.98478045556703;$1,226.00;5;16;14;1;4;-43.245481800149506
-22.984969974907838;$997.00;6;16;6;1;6;-43.203340571559
-22.98501061753135;$500.00;5;16;11;1;4;-43.6890466225045
-22.985100763182828;$75.00;3;16;16;1;1;-43.210940226662274
-22.985212253632287;$5,000.00;8;16;1;1;1;-43.42691740690984
-22.986262510870166;$396.00;4;16;15;0,7;4;-43.21069297864248
-22.986447477870282;$4,781.00;7;16;8;0,97;6;-43.20245840657141
-22.986956474631747;$1,499.00;3,5;16;16;0;4;-43.44031203495778
-22.98696276242783;$1,199.00;6,5;16;15;1;5;-43.49112936540834
-22.987251283372313;$512.00;3,5;16;16;0;1;-43.43836990435775
-22.989558014800778;$342.00;1;16;2;1;0;-43.23401725549223
