Latitude,Longitude,VIC_AGE_GROUP,Součet hodnot: Community Districts,OCCUR_TIME,PERP_AGE_GROUP
40.62246,-73.927252,25-44,5,1899-12-30 15:41:00,25-44
40.62285974,-74.02534566,45-64,10,1899-12-30 00:21:00,18-24
40.6231883776008,-74.1492376947323,25-44,4,1899-12-30 01:52:00,<18
40.6231883776008,-74.1492376947323,25-44,12,1899-12-30 01:52:00,18-24
40.623977,-74.081548,18-24,4,1899-12-30 14:20:00,18-24
40.623977,-74.081548,45-64,4,1899-12-30 17:31:00,(null)
40.624308,-74.026242,25-44,10,1899-12-30 18:50:00,(null)
40.625903,-74.07637,18-24,4,1899-12-30 00:25:00,<18
40.62744,-74.076949,25-44,4,1899-12-30 15:15:00,25-44
40.629779,-74.110715,25-44,4,1899-12-30 19:37:00,25-44
40.63158175,-73.94754388,<18,60,1899-12-30 15:30:00,(null)
40.63329,-73.9058,25-44,5,1899-12-30 00:26:00,25-44
40.633304,-73.92115,25-44,10,1899-12-30 13:30:00,25-44
40.634124,-73.902336,25-44,5,1899-12-30 13:40:00,25-44
40.634174,-73.919331,25-44,5,1899-12-30 00:10:00,(null)
40.634238,-73.922695,25-44,5,1899-12-30 20:29:00,(null)
40.634386,-73.941524,18-24,122,1899-12-30 02:41:00,18-24
40.634386,-73.941524,25-44,122,1899-12-30 02:41:00,18-24
40.635216,-74.106642,25-44,4,1899-12-30 02:12:00,(null)
40.635216,-74.106642,25-44,4,1899-12-30 17:27:00,(null)
40.635786,-73.93739,<18,61,1899-12-30 22:48:00,(null)
40.63602442,-74.13477006,25-44,4,1899-12-30 02:24:00,(null)
40.636301,-73.921462,25-44,5,1899-12-30 09:33:00,(null)
40.636478,-73.944639,18-24,61,1899-12-30 18:43:00,25-44
40.636479,-73.919068,18-24,5,1899-12-30 16:58:00,18-24
40.6368328,-74.13820899,<18,4,1899-12-30 00:38:00,(null)
40.637427,-73.897225,25-44,5,1899-12-30 00:48:00,25-44
40.637524,-73.907962,18-24,5,1899-12-30 20:21:00,18-24
40.63776,-74.076476,18-24,4,1899-12-30 17:56:00,18-24
40.63801,-73.898489,25-44,5,1899-12-30 21:39:00,25-44
40.638095,-74.128978,18-24,4,1899-12-30 15:37:00,25-44
40.638149,-73.936667,25-44,61,1899-12-30 12:48:00,25-44
40.638158,-73.968473,18-24,2,1899-12-30 09:15:00,18-24
40.638158,-73.968473,18-24,2,1899-12-30 09:15:00,25-44
